-0.304, -1.080, 0.841 
0.476, -1.383, -0.186 
-0.524, -0.616, -0.481 
-0.761, -1.579, 0.253 
-0.014, -1.793, -0.693 
-0.958, -1.059, -0.898 
-1.159, -1.979, -0.177 
-0.451, -2.179, -1.081 
-1.310, -1.492, -1.289 
-1.480, -2.335, -0.619 
-0.805, -2.496, -1.434 
-1.635, -1.837, -1.573 
-1.820, -2.684, -0.895 
-1.137, -2.881, -1.732 
-1.924, -2.230, -1.943 
-2.135, -2.996, -1.314 
-1.503, -3.171, -2.093 
-2.289, -2.541, -2.276 
-2.475, -3.309, -1.665 
-1.843, -3.485, -2.457 
-2.565, -2.868, -2.669 
-2.725, -3.580, -2.094 
-2.171, -3.749, -2.799 
-2.927, -3.204, -2.915 
-3.036, -3.954, -2.361 
-2.542, -4.046, -3.089 
-3.242, -3.563, -3.172 
-3.319, -4.255, -2.678 
-2.825, -4.335, -3.345 
-3.502, -3.850, -3.403 
-3.606, -4.508, -2.907 
-3.130, -4.610, -3.550 
-3.747, -4.153, -3.650 
-3.806, -4.762, -3.203 
-3.306, -4.814, -3.829 
-3.905, -4.309, -3.908 
-4.012, -4.888, -3.432 
-3.515, -4.998, -3.982 
-4.081, -4.503, -4.090 
-4.215, -5.072, -3.590 
-3.750, -5.228, -4.143 
-4.298, -4.770, -4.301 
-4.437, -5.284, -3.875 
-4.019, -5.404, -4.374 
-4.543, -4.996, -4.471 
-4.693, -5.527, -4.042 
-4.238, -5.678, -4.569 
-4.732, -4.542, -6.461 
-6.548, -5.737, -3.610 
-3.745, -7.515, -4.782 
-4.926, -4.778, -6.513 
-6.634, -5.944, -3.831 
-4.013, -7.628, -4.972 
-5.116, -5.065, -6.623 
-6.709, -6.139, -4.119 
-4.267, -7.691, -5.164 
-5.316, -5.296, -6.674 
-6.785, -6.307, -4.341 
-4.443, -7.747, -5.343 
-5.415, -5.453, -6.759 
-6.826, -6.406, -4.499 
-4.639, -7.793, -5.422 
-5.535, -5.660, -6.781 
